time,pitch,roll,co2
2022/12/22 19:07:26,0.309,1.509,8
2022/12/22 19:07:28,0.318,1.557,0
2022/12/22 19:07:29,-0.409,0.731,11
2022/12/22 19:07:30,0,1.195,1
2022/12/22 19:07:31,-0.101,2.207,2
2022/12/22 19:07:32,-0.051,1.41,5
2022/12/22 19:07:34,-0.254,1.881,1
2022/12/22 19:07:35,-0.556,1.616,1
2022/12/22 19:07:36,-0.305,2.173,7
2022/12/22 19:07:38,0.412,1.6,3
2022/12/22 19:07:39,-0.051,1.358,14
2022/12/22 19:07:40,-0.355,1.471,0
2022/12/22 19:07:41,-0.104,1.886,11
2022/12/22 19:07:42,0.607,2.042,2
2022/12/22 19:07:43,-0.051,1.591,7
2022/12/22 19:07:45,-0.612,1.62,3
2022/12/22 19:07:46,-0.155,1.614,1
2022/12/22 19:07:47,-0.051,2.083,0
2022/12/22 19:07:48,-0.659,1.68,4
2022/12/22 19:07:49,-2.939,2.406,2
2022/12/22 19:07:51,51.34,-1.909,0
2022/12/22 19:07:52,82.186,0.924,0
2022/12/22 19:07:53,83.97,0.934,3
2022/12/22 19:07:54,83.233,0.673,0
2022/12/22 19:07:56,84.086,0.36,5
2022/12/22 19:07:57,83.46,1.108,1
2022/12/22 19:07:58,83.553,0.313,0
2022/12/22 19:07:59,83.991,0.468,3
2022/12/22 19:08:01,84.082,1.153,0
2022/12/22 19:08:02,82.556,0.991,2
2022/12/22 19:08:03,83.654,0.407,1211
2022/12/22 19:08:04,81.489,0.781,2303
2022/12/22 19:08:05,84.143,0.736,2698
2022/12/22 19:08:06,83.766,0.686,2042
2022/12/22 19:08:08,83.603,1.358,1529
2022/12/22 19:08:09,83.436,0.363,1286
2022/12/22 19:08:10,84.00001,0.052,1065
2022/12/22 19:08:11,83.354,0.469,852
2022/12/22 19:08:13,83.74701,1.337,658
2022/12/22 19:08:14,84.72899,0.625,499
2022/12/22 19:08:15,82.706,0.366,425
2022/12/22 19:08:16,84.6,1.245,374
2022/12/22 19:08:17,83.553,1.11,334
2022/12/22 19:08:19,83.321,0.721,305
2022/12/22 19:08:20,83.457,0.942,278
2022/12/22 19:08:21,83.087,0.987,249
2022/12/22 19:08:22,83.736,0.312,228
2022/12/22 19:08:24,83.793,1.517,208
2022/12/22 19:08:25,83.859,0,189
2022/12/22 19:08:26,82.635,0.312,170
2022/12/22 19:08:27,83.464,1.426,157
2022/12/22 19:08:28,84.52701,0.315,153
2022/12/22 19:08:30,83.38301,0.261,148
2022/12/22 19:08:31,83.516,0.519,134
2022/12/22 19:08:32,83.377,0.891,130
2022/12/22 19:08:33,84.312,1.089,131
2022/12/22 19:08:35,83.61,0.851,119
2022/12/22 19:08:36,83.81301,0.465,111
2022/12/22 19:08:37,84.05101,0.314,101
2022/12/22 19:08:38,83.267,0.314,94
2022/12/22 19:08:39,84.552,0.671,76
2022/12/22 19:08:41,84.08999,0.8349999,82
2022/12/22 19:08:42,84.284,0.624,72
2022/12/22 19:08:43,83.942,1.098,67
